Spend,Geography,Media Vertical,Media Name,Campaign Id,Product Category,Invoice
1500,Bengaluru,Digital,https://www.themediaant.com/digital/hotstar-advertising,6315dd47942f2a00090a5e6c,Shopping & Retail,"INV010044, INV010481"
1500,Hyderabad,Newspaper,https://www.themediaant.com/newspaper/deccan-chronicle-hyderabad-english-advertising,63119453d0a332000957c45d,Real Estate,INV009615
1500,Bengaluru,Newspaper,https://www.themediaant.com/newspaper/times-of-india-bangalore-english-advertising,63ca55a1040bb300083d34cb,Hospitality,INV011027
1500,Bengaluru,Newspaper,https://www.themediaant.com/newspaper/times-of-india-bangalore-english-advertising,64199f5833d29500087141d4,Hospitality,INV011659
1488,Delhi,Digital,https://www.themediaant.com/digital/bigg-boss-ott-2021-on-voot-app-advertising,61c439bdb29d4900085710c4,Finance,"INV007845, INV007954"
1450,Delhi,Airport,https://www.themediaant.com/airport/delhi-airport-advertising,630c66b1d2e390000940e346,Fashion & Lifestyle,"INV009700, INV010027"
1428,Delhi,Newspaper,https://www.themediaant.com/newspaper/hindustan-times-delhi-english-advertising,INV011778,Healthcare,INV011778
1400,Mumbai,Newspaper,https://www.themediaant.com/newspaper/economic-times-mumbai-english-advertising,INV002408,Services,INV002408
1400,Mumbai,Nontraditional,https://www.themediaant.com/nontraditional/mumbai-metro-train-advertising,INV012112,Entertainment,INV012112
1380,Mumbai,Radio,https://www.themediaant.com/radio/radio-fever-mumbai-advertising,620cb0b1a49e6c0009605ac9,Services,"INV008277, INV008493, INV008603, INV008090"
1367.4,Hyderabad,Airport,https://www.themediaant.com/airport/hyderabad-airport-advertising,INV011948,Services,INV011948
1360,Mumbai,Nontraditional,https://www.themediaant.com/nontraditional/mumbai-metro-train-advertising,632c6d4506760e0009061e04,Travel & Tourism,"INV009784, INV010191"
1350,All India,Television,https://www.themediaant.com/television/aaj-tak-tv-advertising,63edf5a54779f70008d22e76,Engineering,INV011429
1344,All India,Airport,https://www.themediaant.com/airport/air-vistara-india-advertising,6124834bbe639e0008d79621,Electronics & Gadgets,INV006962
1343.32,All India,Television,https://www.themediaant.com/television/abp-news-tv-advertising,INV003771,Entertainment,INV003771
1319.5,Tamil Nadu,Newspaper,https://www.themediaant.com/newspaper/hindustan-hindi-lucknow-hindi-advertising,6138a6136ae8df00088995b4,Electronics & Gadgets,INV007038
1311,Bengaluru,Nontraditional,https://www.themediaant.com/nontraditional/auto-bangalore-advertising,INV001994,Services,INV001994
1308.116,Delhi,Outdoor,https://www.themediaant.com/outdoor/hoarding-mandi-house-new-delhi-34480,INV011895,Entertainment,INV011895
1300,Delhi,Airport,https://www.themediaant.com/airport/delhi-airport-advertising,6323276b09908c0009e2a9f4,Finance,"INV009750, INV010109"
1300,Delhi,Digital,https://www.themediaant.com/digital/hotstar-advertising,620a262596de31000926a1c1,Fashion & Lifestyle,"INV008024, INV008197"
1300,All India,Television,https://www.themediaant.com/television/ndtv-india-tv-advertising,INV005050,Shopping & Retail,INV005050
1285,All India,Television,https://www.themediaant.com/television/abp-news-tv-advertising,5fa39c2e61d2e02b93c29cef,Fitness & Health,INV005639
1265,All India,Airport,https://www.themediaant.com/airport/air-vistara-india-advertising,60efc67bc03a8000089ada60,Electronics & Gadgets,INV006749
1251.9,All India,Digital,https://www.themediaant.com/digital/facebook-advertising,5f971d396911700aa2d88435,Food & Restaurant,"INV006005, INV006046, INV006250"
1251.4,Mumbai,Digital,https://www.themediaant.com/digital/zee5-advertising,61c439bdb29d4900085710c4,Finance,"INV007845, INV007954"
1250,Delhi,Nontraditional,https://www.themediaant.com/nontraditional/delhi-metro-train-advertising,632bfa7189cf4700097caf88,Finance,"INV009755, INV010104"
1250,Hyderabad,Digital,https://www.themediaant.com/digital/livemint-advertising,62b3ddea7b18270009dc99c4,Finance,INV008957
1249.5,Karnataka,Newspaper,https://www.themediaant.com/newspaper/lokmat-pune-marathi-advertising,61277642c77dda0008c3c44b,FMCG,INV007065
1248,Bengaluru,Digital,https://www.themediaant.com/digital/hotstar-advertising,6220b7d983b2f60009c3cdd0,Healthcare,INV008356
1232,Mumbai,Radio,https://www.themediaant.com/radio/radio-mirchi-mumbai-advertising,632ab1a6f3146a0009fbb132,Fashion & Lifestyle,INV010118
1216.1,All India,Digital,https://www.themediaant.com/digital/youtube-advertising,6039239d5bfa8d117ab31dff,Education & Skill,INV006169
1211,Mumbai,Newspaper,https://www.themediaant.com/newspaper/economic-times-mumbai-english-advertising,63f25c38a91a6c00085e9d7d,Services,INV011745
1208,Bengaluru,Newspaper,https://www.themediaant.com/newspaper/times-of-india-bangalore-english-advertising,60642ca405dfb8515fd88984,Finance,"INV006290, INV006400"
1200.8,Chennai,Digital,https://www.themediaant.com/digital/inshorts-advertising,6329488c9f3adf00091b00f2,Fashion & Lifestyle,"INV009791, INV010069"
1200,Delhi,Newspaper,https://www.themediaant.com/newspaper/economic-times-delhi-english-advertising,INV002537,Services,INV002537
1200,Hyderabad,Nontraditional,https://www.themediaant.com/nontraditional/auto-hyderabad-advertising,INV001804,IT Product & Services,INV001804
1200,All India,Digital,https://www.themediaant.com/digital/hotstar-advertising,60f6ae82ef7cc100099800dd,Finance,INV006720
1200,Delhi,Nontraditional,https://www.themediaant.com/nontraditional/ac-bus-delhi-advertising,63650dc244ccb8000866a3ac,Fitness & Health,INV010317
1200,Bengaluru,Digital,https://www.themediaant.com/digital/hotstar-advertising,620a262596de31000926a1c1,Fashion & Lifestyle,"INV008024, INV008197"
